id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties,golsInter,golsAdversario
38,2011_BR,Brasileirão 2011,Brasileirão,5,5,88,BR,Estádio Major Antônio Couto Pereira,17403,19,Coritiba FC,M,1,,1,Internacional,X,1,,,2011-06-19,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,1
91,2011_BR,Brasileirão 2011,Brasileirão,37,37,75,BR,Estádio Jornalista Mário Filho,12911,5,Flamengo,X,1,,1,Internacional,X,0,,,2011-11-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,0,1
101,2011_BR,Brasileirão 2011,Brasileirão,15,15,1,BR,Estádio Beira-Rio,14117,1,Internacional,X,3,,13,Cruzeiro,X,2,,,2011-08-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,3,2
114,2011_BR,Brasileirão 2011,Brasileirão,36,36,139,BR,Estádio Olímpico Nilton Santos,7840,2,Botafogo,M,1,,1,Internacional,X,2,,,2011-11-20,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,2,1
131,2011_BR,Brasileirão 2011,Brasileirão,19,19,137,BR,Estádio Olímpico Monumental,23182,7,Grêmio,X,2,,1,Internacional,X,1,,,2011-08-28,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,2
149,2011_BR,Brasileirão 2011,Brasileirão,16,16,66,BR,Estádio Governador Roberto Santos,21239,15,EC Bahia,M,1,,1,Internacional,X,1,,,2011-08-14,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,1
155,2011_BR,Brasileirão 2011,Brasileirão,1,1,162,BR,Estádio Urbano Caldeira,4532,16,Santos FC,X,1,,1,Internacional,X,1,,,2011-05-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,1
177,2011_BR,Brasileirão 2011,Brasileirão,18,18,1,BR,Estádio Beira-Rio,28752,1,Internacional,X,2,,5,Flamengo,X,2,,,2011-08-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,,2,2
178,2011_BR,Brasileirão 2011,Brasileirão,30,30,1,BR,Estádio Beira-Rio,17832,1,Internacional,X,4,,27,Avaí FC,M,2,,,2011-10-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,4,2
211,2011_BR,Brasileirão 2011,Brasileirão,23,23,2,BR,Allianz Parque,9024,4,Palmeiras,X,0,,1,Internacional,X,3,,,2011-09-11,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,3,0
230,2011_BR,Brasileirão 2011,Brasileirão,10,10,1,BR,Estádio Beira-Rio,11800,1,Internacional,X,0,,11,São Paulo,X,3,,,2011-07-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,0,3
238,2011_BR,Brasileirão 2011,Brasileirão,22,22,1,BR,Estádio Beira-Rio,24681,1,Internacional,X,4,,20,América-MG,S,2,,,2011-09-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,4,2
239,2011_BR,Brasileirão 2011,Brasileirão,33,33,1,BR,Estádio Beira-Rio,33850,1,Internacional,X,1,,9,Fluminense,M,2,,,2011-11-06,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,2
243,2011_BR,Brasileirão 2011,Brasileirão,3,3,150,BR,Estádio Raimundo Sampaio,4541,20,América-MG,S,2,,1,Internacional,X,4,,,2011-06-05,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,4,2
256,2014_BR,Brasileirão 2014,Brasileirão,2,2,75,BR,Estádio Jornalista Mário Filho,9995,2,Botafogo,M,2,,1,Internacional,X,2,,,2014-04-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,2,2
