id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties
25,2011_BR,Brasileirão 2011,Brasileirão,34,34,64,BR,Estádio Governador Magalhães Pinto,16967,13,Cruzeiro,X,1,,1,Internacional,X,0,,,2011-11-13,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
26,2011_BR,Brasileirão 2011,Brasileirão,38,38,64,BR,Estádio Governador Magalhães Pinto,18500,13,Cruzeiro,X,6,,8,Atlético-MG,X,1,,,2011-12-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
27,2011_BR,Brasileirão 2011,Brasileirão,24,24,64,BR,Estádio Governador Magalhães Pinto,7133,13,Cruzeiro,X,0,,20,América-MG,S,0,,,2011-09-18,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
28,2011_BR,Brasileirão 2011,Brasileirão,35,35,65,BR,Estádio Governador Plácido Castelo,17532,21,Ceará SC,M,0,,14,Corinthians,X,1,,,2011-11-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
29,2011_BR,Brasileirão 2011,Brasileirão,18,18,157,BR,Estádio Serra Dourada,5226,22,Atlético-GO,M,1,,7,Grêmio,X,0,,,2011-08-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
30,2011_BR,Brasileirão 2011,Brasileirão,20,20,157,BR,Estádio Serra Dourada,3146,22,Atlético-GO,M,3,,19,Coritiba FC,M,1,,,2011-08-31,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
31,2011_BR,Brasileirão 2011,Brasileirão,24,24,157,BR,Estádio Serra Dourada,6186,22,Atlético-GO,M,1,,8,Atlético-MG,X,0,,,2011-09-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
32,2011_BR,Brasileirão 2011,Brasileirão,27,27,157,BR,Estádio Serra Dourada,12264,22,Atlético-GO,M,2,,2,Botafogo,M,0,,,2011-10-02,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
33,2011_BR,Brasileirão 2011,Brasileirão,30,30,157,BR,Estádio Serra Dourada,23906,22,Atlético-GO,M,3,,11,São Paulo,X,0,,,2011-10-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
34,2011_BR,Brasileirão 2011,Brasileirão,32,32,157,BR,Estádio Serra Dourada,6337,22,Atlético-GO,M,0,,1,Internacional,X,1,,,2011-10-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
35,2011_BR,Brasileirão 2011,Brasileirão,36,36,157,BR,Estádio Serra Dourada,37828,22,Atlético-GO,M,0,,5,Flamengo,X,0,,,2011-11-20,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
36,2011_BR,Brasileirão 2011,Brasileirão,38,38,157,BR,Estádio Serra Dourada,5787,22,Atlético-GO,M,5,,20,América-MG,S,1,,,2011-12-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
37,2011_BR,Brasileirão 2011,Brasileirão,1,1,88,BR,Estádio Major Antônio Couto Pereira,16546,19,Coritiba FC,M,0,,22,Atlético-GO,M,1,,,2011-05-22,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
38,2011_BR,Brasileirão 2011,Brasileirão,5,5,88,BR,Estádio Major Antônio Couto Pereira,17403,19,Coritiba FC,M,1,,1,Internacional,X,1,,,2011-06-19,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
39,2011_BR,Brasileirão 2011,Brasileirão,7,7,88,BR,Estádio Major Antônio Couto Pereira,10799,19,Coritiba FC,M,3,,21,Ceará SC,M,1,,,2011-06-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
40,2011_BR,Brasileirão 2011,Brasileirão,10,10,88,BR,Estádio Major Antônio Couto Pereira,16498,19,Coritiba FC,M,3,,9,Fluminense,M,1,,,2011-07-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
41,2011_BR,Brasileirão 2011,Brasileirão,16,16,88,BR,Estádio Major Antônio Couto Pereira,16328,19,Coritiba FC,M,3,,8,Atlético-MG,X,0,,,2011-08-14,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
42,2011_BR,Brasileirão 2011,Brasileirão,19,19,88,BR,Estádio Major Antônio Couto Pereira,25604,19,Coritiba FC,M,1,,203,Atlético-PR,S,1,,,2011-08-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
43,2011_BR,Brasileirão 2011,Brasileirão,21,21,88,BR,Estádio Major Antônio Couto Pereira,26572,19,Coritiba FC,M,1,,14,Corinthians,X,0,,,2011-09-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
44,2011_BR,Brasileirão 2011,Brasileirão,23,23,88,BR,Estádio Major Antônio Couto Pereira,17142,19,Coritiba FC,M,5,,2,Botafogo,M,0,,,2011-09-11,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
45,2011_BR,Brasileirão 2011,Brasileirão,25,25,88,BR,Estádio Major Antônio Couto Pereira,17766,19,Coritiba FC,M,2,,13,Cruzeiro,X,1,,,2011-09-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
46,2011_BR,Brasileirão 2011,Brasileirão,28,28,88,BR,Estádio Major Antônio Couto Pereira,19951,19,Coritiba FC,M,2,,7,Grêmio,X,0,,,2011-10-08,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
47,2011_BR,Brasileirão 2011,Brasileirão,30,30,88,BR,Estádio Major Antônio Couto Pereira,11896,19,Coritiba FC,M,0,,15,EC Bahia,M,0,,,2011-10-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
48,2011_BR,Brasileirão 2011,Brasileirão,34,34,88,BR,Estádio Major Antônio Couto Pereira,26299,19,Coritiba FC,M,2,,5,Flamengo,X,0,,,2011-11-13,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
49,2011_BR,Brasileirão 2011,Brasileirão,36,36,88,BR,Estádio Major Antônio Couto Pereira,16447,19,Coritiba FC,M,1,,16,Santos FC,X,0,,,2011-11-20,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
50,2011_BR,Brasileirão 2011,Brasileirão,22,22,23,BR,Estádio Aderbal Ramos da Silva,5630,27,Avaí FC,M,1,,16,Santos FC,X,2,,,2011-09-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
51,2011_BR,Brasileirão 2011,Brasileirão,28,28,23,BR,Estádio Aderbal Ramos da Silva,8531,27,Avaí FC,M,3,,203,Atlético-PR,S,0,,,2011-10-09,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
52,2011_BR,Brasileirão 2011,Brasileirão,20,20,160,BR,Estádio São Januário,5428,18,Vasco da Gama,M,3,,21,Ceará SC,M,1,,,2011-08-31,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
53,2011_BR,Brasileirão 2011,Brasileirão,22,22,160,BR,Estádio São Januário,9397,18,Vasco da Gama,M,2,,19,Coritiba FC,M,0,,,2011-09-08,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
54,2011_BR,Brasileirão 2011,Brasileirão,24,24,160,BR,Estádio São Januário,19757,18,Vasco da Gama,M,4,,7,Grêmio,X,0,,,2011-09-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
55,2011_BR,Brasileirão 2011,Brasileirão,30,30,160,BR,Estádio São Januário,15269,18,Vasco da Gama,M,2,,8,Atlético-MG,X,0,,,2011-10-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
56,2011_BR,Brasileirão 2011,Brasileirão,32,32,160,BR,Estádio São Januário,21315,18,Vasco da Gama,M,0,,11,São Paulo,X,0,,,2011-10-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
57,2011_BR,Brasileirão 2011,Brasileirão,34,34,160,BR,Estádio São Januário,33778,18,Vasco da Gama,M,2,,2,Botafogo,M,0,,,2011-11-13,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
58,2011_BR,Brasileirão 2011,Brasileirão,38,38,160,BR,Estádio São Januário,40004,18,Vasco da Gama,M,1,,5,Flamengo,X,1,,,2011-12-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
59,2011_BR,Brasileirão 2011,Brasileirão,15,15,150,BR,Estádio Raimundo Sampaio,2782,20,América-MG,S,3,,9,Fluminense,M,0,,,2011-08-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
