Adversario,Data,Estadio,Juiz,Renda,Treinador,Gols Pro,Gols Contra,Campeonato,Jogador 1,Gols,Posicao,Jogador 2,Gols,Posicao,Jogador 3,Gols,Posicao,Jogador 4,Gols,Posicao,Jogador 5,Gols,Posicao,Jogador 6,Gols,Posicao,Jogador 7,Gols,Posicao,Jogador 8,Gols,Posicao,Jogador 9,Gols,Posicao,Jogador 10,Gols,Posicao,Jogador 11,Gols,Posicao,Jogador 12,Gols,Posicao,Jogador 13,Gols,Posicao,Jogador 14,Gols,Posicao,Jogador 15,Gols,Posicao,Jogador 16,Gols,Posicao,Jogador 17,Gols,Posicao,Jogador 18,Gols,Posicao,Jogador 19,Gols,Posicao,,,,,,,,,
FLORIANO,08/02/1956,EUCALIPTOS,APARICIO VIANA E SILVA,"CR$ 11.765,00",,1,1,TORNEIO,LAPAS,1,G,ALMIR-50,,Z,SETEMBRINO,,Z,MOSSORO,,M,LINDOBERTO,,M,NILO,,M,ARAGUARI,,A,DUARTE,,A,IVO-50,,A,EMILSON,1,A,CANHOTINHO,,A,LULA-50,,M,PINTO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,22/02/1956,RENNER,APARICIO VIANA E SILVA,"CR$ 13.690,00",,2,2,TORNEIO,LAPAS,2,G,BRENO,,Z,SETEMBRINO,,Z,MOSSORO,,M,LINDOBERTO,,M,NILO,,M,PINTO,1,A,ARAGUARI,1,A,IVO-50,,A,EMILSON,,A,ASSUMPÇÃO,,A,EZEQUIEL,,Z,CORINGA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,26/02/1956,EUCALIPTOS,ALFEU CACHAPUS,"CR$ 2.390,00",,2,3,AMISTOSO,LAPAS,3,G,BRENO,,Z,SETEMBRINO,,Z,MOSSORO,,M,LINDOBERTO,,M,NILO,,M,PINTO,2,A,ARAGUARI,,A,IVO-50,,A,EMILSON,,A,CORINGA,,A,EZEQUIEL,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,04/03/1956,AIMORÉ,JONI ALVES,,,3,2,AMISTOSO,MILTON,2,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LULA-50,,M,ZANGÃO,,M,PINTO,,A,ARAGUARI,1,A,IVO-50,2,A,EMILSON,,A,CANHOTINHO,,A,CORINGA,,A,DUARTE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAMENGO DE CAXIAS,11/03/1956,CAXIAS DO SUL,APARICIO VIANA E SILVA,"CR$ 11.770,00",,1,1,AMISTOSO,MILTON,1,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,EMILSON,,M,ZANGÃO,,M,PINTO,,A,DUARTE,1,A,IVO-50,,A,VERARDI,,A,CANHOTINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERONESE,18/03/1956,VERONESE,ABILIO DOS SANTOS,"CR$ 10.300,00",,1,1,AMISTOSO,MILTON,1,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,EMILSON,,M,ZANGÃO,,M,PINTO,,A,ARAGUARI,1,A,IVO-50,,A,MILTON-50,,A,CANHOTINHO,,A,CORINGA,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELEÇÃO DE VACARIA,01/04/1956,VACARIA,APARICIO VIANA E SILVA,"CR$ 51.000,00",,7,0,AMISTOSO,LAPAS,0,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,EMILSON,,M,ZANGÃO,,M,VICTOR,,A,DUARTE,4,A,IVO-50,2,A,ARAGUARI,1,A,CANHOTINHO,,A,MILTON,,G,NILO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENNER,08/04/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 71.670,00",,1,1,AMISTOSO,LAPAS,1,G,FLORINDO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,EMILSON,,A,IVO-50,,A,ARAGUARI,,A,CANHOTINHO,,A,ZANGÃO,,M,DUARTE,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,
FLAMENGO,15/04/1956,MARACANÃ,APARICIO VIANA E SILVA,"CR$ 776.377,00",,1,4,AMISTOSO,LAPAS,4,G,FLORINDO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,1,A,EMILSON,,A,CANHOTINHO,,A,CHINESINHO,,A,ARAGUARI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,21/04/1956,TIMBAÚVA,FORTUNATO TONELI,"CR$ 45.020,00",,0,1,AMISTOSO,LAPAS,1,G,FLORINDO,,Z,RENE-50,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,PINTO,,A,DUARTE,,A,IVO-50,,A,EMILSON,,A,CHINESINHO,,A,EZEQUIEL,,Z,ALMIR-50,,A,BODINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,22/04/1956,AIMORÉ,JULIO PETERSEN,"CR$ 21.920,00",,1,3,AMISTOSO,LAPAS,3,G,FLORINDO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,PINTO,1,A,BODINHO,,A,MILTON-50,,A,CANHOTINHO,,A,CHINESINHO,,A,ZANGÃO,,M,IVO-50,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIÃO SERRANO,26/04/1956,BENTO GONÇALVES,ALFEU CACHAPUS,"CR$ 15.000,00",,4,2,AMISTOSO,LAPAS,2,G,FLORINDO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,MILTON-50,,A,PINTO,2,A,ARAGUARI,,A,CHINESINHO,1,A,CANHOTINHO,1,A,ZANGÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,06/05/1956,EUCALIPTOS,JULIO PETERSEN,"CR$ 28.600,00",,2,0,AMISTOSO,LAPAS,0,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,,A,EMILSON,,A,PINTO,2,A,ARAGUARI,,A,CHINESINHO,,A,SETEMBRINO,,M,ALMIR-50,,A,CANHOTINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,13/05/1956,TIMBAÚVA,HANS LUTZKAT,"CR$ 88.900,00",,2,2,AMISTOSO,MILTON,2,G,LINDOBERTO,,Z,EZEQUIEL,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,,A,PINTO,,A,IVO-50,1,A,ARAGUARI,1,A,CHINESINHO,,A,FLORINDO,,Z,CANHOTINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLÉTICO PARANAENSE,19/05/1956,DORIVAL DE BRITO,ATAIDE DOS SANTOS,"CR$ 60.000,00",,0,2,AMISTOSO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,PINTO,,A,LARRY,,A,ARAGUARI,,A,CHINESINHO,,A,ZANGÃO,,M,IVO-50,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI,20/05/1956,DORIVAL DE BRITO,MANOEL GUIMARAES,"CR$ 110.000,00",,2,2,AMISTOSO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,1,A,PINTO,,A,LARRY,1,A,EMILSON,,A,CHINESINHO,,A,EZEQUIEL,,Z,ORECO,,M,IVO-50,,A,,,,,,,,,,,,,,,,,,,,,,,,
FLUMINENSE,03/06/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 263.000,00",,1,3,AMISTOSO,LAPAS,3,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,EMILSON,,A,LARRY,1,A,JERÔNIMO,,A,CHINESINHO,,A,IVO-50,,A,DIVO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,10/06/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 30.086,00",,0,2,GAÚCHO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,ARAGUARI,,A,LARRY,,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,24/06/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 71.260,00",,2,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,CANHOTINHO,,A,LARRY,1,A,JERÔNIMO,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIANO,08/07/1956,FLORIANO,FORTUNATO TONELI,"CR$ 153,721.00",,2,2,GAÚCHO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,PINTO,,A,LARRY,2,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAMENGO DE CAXIAS,15/07/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 57.230,00",,5,0,GAÚCHO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,1,A,IVO-50,3,A,LARRY,,A,ITAMAR-50,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLÉTICO MINEIRO,19/07/1956,RENNER,WILLER COSTA,"CR$ 158,750,00",,2,2,AMISTOSO,MILTON,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,1,M,LUIZINHO,,A,IVO-50,,A,LARRY,1,A,ITAMAR-50,,A,CHINESINHO,,A,JERÔNIMO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDAGUARI,22/07/1956,PARANÁ,ALFEU CACHAPUS,"CR$ 51.000,00",,2,0,AMISTOSO,LAPAS,0,G,FLORINDO,,Z,EZEQUIEL,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,ARAGUARI,1,A,IVO-50,,A,ITAMAR-50,,A,CHINESINHO,1,A,CANHOTINHO,,A,ALMIR-50,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENNER,05/08/1956,RENNER,FORTUNATO TONELI,"CR$ 333.170,00",,2,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,IVO-50,2,A,LARRY,,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTIVO,12/08/1956,BENTO GONÇALVES,ROMEU VIOLA,"CR$ 65.000,00",,2,2,AMISTOSO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,IVO-50,,A,LARRY,2,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,02/09/1956,GRÊMIO,HANS LUTZKAT,"CR$ 967.580,00",,1,2,GAÚCHO,LAPAS,2,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,IVO-50,,A,LARRY,1,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUVENTUDE,09/09/1956,CAXIAS DO SUL,FORTUNATO TONELI,"CR$ 77.170,00",,2,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,IVO-50,,A,LARRY,1,A,ITAMAR-50,1,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,16/09/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 106.520,00",,1,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,1,A,LARRY,,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORÇA E LUZ,23/09/1956,TIMBAÚVA,FORTUNATO TONELI,"CR$ 65.640,00",,4,0,GAÚCHO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,1,A,LARRY,2,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,29/09/1956,TIMBAÚVA,FORTUNATO TONELI,"CR$ 43.340,00",,5,0,AMISTOSO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,ARAGUARI,,A,BODINHO,2,A,IVO-50,1,A,ZANGÃO,1,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,07/10/1956,GRÊMIO,FORTUNATO TONELI,"CR$ 214.395,00",,2,0,AMISTOSO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,ARAGUARI,,A,BODINHO,1,A,IVO-50,,A,ZANGÃO,,A,CANHOTINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAMENGO DE CAXIAS,14/10/1956,CAXIAS DO SUL,FORTUNATO TONELI,"CR$ 42.290,00",,4,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,CANHOTINHO,1,A,BODINHO,1,A,IVO-50,1,A,JERÔNIMO,1,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,21/10/1956,CRUZEIRO,LÉO CAMPOS,"CR$ 78.120,00",,2,0,GAÚCHO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,1,A,IVO-50,1,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,28/10/1956,NACIONAL,LUIS A. MANGELOT,"CR$ 91.030,00",,1,0,GAÚCHO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,,A,LARRY,,A,JERÔNIMO,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,04/11/1956,AIMORÉ,LÉO CAMPOS,"CR$ 10.404,00",,4,1,GAÚCHO,LAPAS,1,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,1,M,ITAMAR-50,,A,BODINHO,,A,LARRY,3,A,IVO-50,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIANO,11/11/1956,EUCALIPTOS,ALFEU C. BATISTA,"CR$ 56.040,00",,1,0,GAÚCHO,LAPAS,0,G,LINDOBERTO,,Z,ORECO,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,ITAMAR-50,,A,BODINHO,1,A,LARRY,,A,IVO-50,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUVENTUDE,18/11/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 26.430,00",,8,1,GAÚCHO,LAPAS,1,G,LINDOBERTO,,Z,ORECO,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,ITAMAR-50,,A,BODINHO,1,A,LARRY,4,A,IVO-50,2,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORÇA E LUZ,08/12/1956,EUCALIPTOS,FLÁVIO CAVEDINI,"CR$ 17.120,00",,4,0,GAÚCHO,LAPAS,0,G,LINDOBERTO,,Z,ORECO,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,ITAMAR-50,1,A,BODINHO,1,A,LARRY,,A,IVO-50,2,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,12/12/1956,EUCALIPTOS,FLÁVIO CAVEDINI,"CR$ 549.700,00",,1,0,GAÚCHO,LAPAS,0,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,ITAMAR-50,,A,BODINHO,,A,LARRY,,A,IVO-50,1,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENNER,16/12/1956,EUCALIPTOS,FORTUNATO TONELI,"CR$ 146.690,00",,1,3,GAÚCHO,LAPAS,3,G,FLORINDO,,Z,ORECO,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,ITAMAR-50,,A,BODINHO,1,A,LARRY,,A,IVO-50,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELEÇÃO DO URUGUAI,24/02/1957,CENTENÁRIO URUGUAY,CARLOS ARMENTAL,5.538 P,,1,3,AMISTOSO,LAPAS,3,G,FLORINDO,,Z,JOEL,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,IVO-50,,A,BODINHO,,A,LARRY,1,A,JERÔNIMO,,A,CHINESINHO,,A,ITAMAR-50,,A,IRAJÁ,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGU,10/03/1957,EUCALIPTOS,FORTUNATO TONELI,"CR$ 145.110,00",,2,3,AMISTOSO,LAPAS,3,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,IVO-50,2,A,CANHOTINHO,,A,LARRY,,A,JERÔNIMO,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRASIL DE PELOTAS,17/03/1957,PELOTAS,JULIO PETERSEN,"CR$ 83.250,00",,1,4,AMISTOSO,LAPAS,4,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,1,M,IVO-50,,A,IRAJÁ,,A,LARRY,,A,ITAMAR-50,,A,CHINESINHO,,A,ZANGÃO,,M,VERARDI,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMÉRICA DE MINAS,24/03/1957,EUCALIPTOS,FORTUNATO TONELI,"CR$ 127.366,00",,2,1,AMISTOSO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,IVO-50,1,A,BODINHO,1,A,LARRY,,A,ITAMAR-50,,A,CHINESINHO,,A,ZANGÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENNER,29/03/1957,RENNER,FORTUNATO TONELI,"CR$ 247.670,00",,2,1,AMISTOSO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,VERARDI,1,M,ODORICO,,M,IVO-50,1,A,BODINHO,,A,LARRY,,A,ITAMAR-50,,A,CHINESINHO,,A,LINDOBERTO,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ,31/03/1957,SANTA CRUZ DO SUL,ALFEU C. BATISTA,"CR$ 130.000,00",,1,1,AMISTOSO,SÉRGIO-50,1,G,ALMIR-50,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,IVO-50,,A,BODINHO,,A,LARRY,1,A,ITAMAR-50,,A,CHINESINHO,,A,LUIZINHO,,A,JERÔNIMO,,A,IRAJÁ,,A,,,,,,,,,,,,,,,,,,,,,,,,
BRASIL DE PELOTAS,07/04/1957,EUCALIPTOS,JULIO PETERSEN,"CR$ 133.640,00",,5,1,AMISTOSO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,,A,IVO-50,1,A,ITAMAR-50,,A,JULIO PERES,1,A,LARRY,2,A,ZANGÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARROUPILHA,21/04/1957,FARROUPILHA,JULIO PETERSEN,"CR$ 39.000,00",,2,1,AMISTOSO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,VERARDI,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,,A,LARRY,1,A,ITAMAR-50,,A,IVO-50,1,A,ZANGÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,28/04/1957,CRUZ ALTA,ALFEU C. BATISTA,"CR$ 85.000,00",,4,2,AMISTOSO,SÉRGIO-50,2,G,FLORINDO,,Z,JOEL,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,1,A,LARRY,2,A,ITAMAR-50,,A,IRAJÁ,,A,IVO-50,,A,JERÔNIMO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCA JUNIORS,01/05/1957,EUCALIPTOS,JULIO PETERSEN,"CR$ 560.670,00",,4,2,INTERNACIONAL AMISTOSO,SÉRGIO-50,2,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,,A,LARRY,1,A,JULIO PERES,,A,IVO-50,2,A,VERARDI,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOGRANDENSE,07/05/1957,RIOGRANDENSE,ALFEU C. BATISTA,"CR$ 95.000,00",,3,0,AMISTOSO,SÉRGIO-50,0,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,1,A,IVO-50,,A,LARRY,,A,JULIO PERES,,A,IRAJÁ,1,A,LINDOBERTO,,Z,JERÔNIMO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORÇA E LUZ,12/05/1957,EUCALIPTOS,LUIS SPINETTO,"CR$ 76.320,00",,2,0,GAÚCHO,SÉRGIO-50,0,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,,A,IVO-50,1,A,JULIO PERES,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ,19/05/1957,SANTA CRUZ DO SUL,ALFEU C. BATISTA,"CR$ 80.000,00",,3,1,AMISTOSO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,CANHOTINHO,,A,IVO-50,1,A,LARRY,1,A,JULIO PERES,1,A,CHINESINHO,,A,JERÔNIMO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIANO,09/06/1957,EUCALIPTOS,FRANCISCO LAMOLINA,"CR$ 161.981,00",,2,1,GAÚCHO,SÉRGIO-50,1,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,JOAQUINZINHO,,A,BODINHO,1,A,IVO-50,,A,ITAMAR-50,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTENEGRO,16/06/1957,MONTENEGRO,ALFEU C. BATISTA,"CR$ 75.000,00",,3,1,AMISTOSO,SÉRGIO-50,1,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,JOAQUINZINHO,1,A,BODINHO,2,A,IVO-50,,A,JULIO PERES,,A,CANHOTINHO,,A,LUIZINHO,,A,JERÔNIMO,,A,PERERECA,,A,,,,,,,,,,,,,,,,,,,,,,,,
VERONESE,20/06/1957,VERONESE,ALFEU C. BATISTA,"CR$ 46.620,00",,3,1,AMISTOSO,SÉRGIO-50,1,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,MANECA,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,,A,IVO-50,,A,JULIO PERES,,A,CHINESINHO,,A,IRAJÁ,2,A,VERARDI,,A,JOAQUINZINHO,,A,PERERECA,,A,JERÔNIMO,,A,,,,,,,,,,,,,,,,,,
JUVENTUDE,23/06/1957,CAXIAS DO SUL,FORTUNATO TONELI,"CR$ 145.410,00",,3,0,GAÚCHO,SÉRGIO-50,0,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,JOAQUINZINHO,,A,BODINHO,,A,IVO-50,1,A,JULIO PERES,,A,CHINESINHO,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,30/06/1957,CRUZEIRO,LUIS SPINETTO,"CR$ 305.580,00",,0,2,GAÚCHO,SÉRGIO-50,2,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,,A,JOAQUINZINHO,,A,LARRY,,A,JULIO PERES,,A,IVO-50,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENNER,07/07/1957,EUCALIPTOS,LUIS SPINETTO,"CR$ 442.400,00",,1,2,GAÚCHO,SÉRGIO-50,2,G,LINDOBERTO,,Z,PAULISTINHA,,Z,MOSSORO,,M,ZANGÃO,,M,ODORICO,,M,LUIZINHO,,A,IVO-50,1,A,LARRY,,A,JULIO PERES,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMORÉ,14/07/1957,AIMORÉ,FORTUNATO TONELI,"CR$ 285.050,00",,2,2,GAÚCHO,SÉRGIO-50,2,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,JOEL,,M,ODORICO,,M,LUIZINHO,1,A,BODINHO,1,A,LARRY,,A,IVO-50,,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,28/07/1957,EUCALIPTOS,FRANCISCO LAMOLINA,"CR$ 790.500,00 G-40,00 CAD 150,00",,1,1,GAÚCHO,SÉRGIO-50,1,G,FLORINDO,,Z,PAULISTINHA,,Z,MOSSORO,,M,LINDOBERTO,,M,ODORICO,,M,LUIZINHO,,A,BODINHO,,A,LARRY,,A,IVO-50,1,A,CHINESINHO,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
