Adversario,Data,Estadio,Juiz,Renda,Treinador,Gols Pro,Gols Contra,Campeonato,Jogador 1,Gols,Posicao,Jogador 2,Gols,Posicao,Jogador 3,Gols,Posicao,Jogador 4,Gols,Posicao,Jogador 5,Gols,Posicao,Jogador 6,Gols,Posicao,Jogador 7,Gols,Posicao,Jogador 8,Gols,Posicao,Jogador 9,Gols,Posicao,Jogador 10,Gols,Posicao,Jogador 11,Gols,Posicao,Jogador 12,Gols,Posicao,Jogador 13,Gols,Posicao,Jogador 14,Gols,Posicao,Jogador 15,Gols,Posicao,Jogador 16,Gols,Posicao,Jogador 17,Gols,Posicao,Jogador 18,Gols,Posicao,Jogador 19,Gols,Posicao,,,,,,,,,
G. CONCEIÇÃO,29/10/1911,GRÊMIO,AURELIO DE LIMA PY,,,2,1,AMISTOSO,CAZUZA,1,G,MÉDICE,,Z,IGARTUA,,Z,ARY-10,,M,KLUWE,,M,TULIO,,M,SISSON,1,A,GALVÃO,,A,RIBAS,1,A,PEDRINHO-10,,A,XAVIER,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,05/05/1912,GRÊMIO,NÃO CONSTA,,,7,0,CITADINO,BARBIERI-10,0,G,ÁVILA-10,,Z,RADAGASIO,,Z,PITOCO,,M,KLUWE,,M,FLORES,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,CHAVES,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSS BALL,02/06/1912,,HENRIQUE SOMMER,,,4,3,CITADINO,BARBIERI-10,3,G,ÁVILA-10,,Z,RADAGASIO,,Z,PITOCO,,M,KLUWE,,M,LAY,,M,TULIO,,A,GALVÃO,1,A,RIBAS,1,A,PEDRO-10,,A,VARES,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,23/06/1912,GRÊMIO,THEOBALDO FO,,,0,6,CITADINO,CROSLEY,6,G,ÁVILA-10,,Z,RADAGASIO,,Z,PINTO-10,,M,KLUWE,,M,LAY,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,PEDRO-10,,A,CHAVES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIÃO,09/07/1912,PELOTAS,,,,6,0,AMISTOSO,BARBIERI-10,0,G,ÁVILA-10,,Z,BADÚ,,Z,HUGO-10,,M,DORNELLES,,M,LAY,,M,TULIO,1,A,SIMÃO-10,,A,RIBAS,3,A,PEDRO-10,,A,VARES,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELOTAS,11/07/1912,PELOTAS,DR. EDMUNDO C. LOPES,Ingresso 200 réis,,1,2,AMISTOSO,JACI,2,G,ÁVILA-10,,Z,RADAGASIO,,Z,CASTRO-10,,M,DORNELLES,,M,LAY,,M,TULIO,,A,SIMÃO-10,,A,RIBAS,,A,PEDRO-10,1,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,15/07/1912,GRÊMIO,RIEGER,,,1,2,CITADINO,RUSSOMANO,1,G,ARY-10,,Z,RADAGASIO,,Z,JACI,,M,KLUWE,,M,SCABELON,,M,TULIO,,A,GALVÃO,1,A,RIBAS,,A,PEDRO-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 DE SETEMBRO,28/07/1912,GRÊMIO,NÃO CONSTA,,,3,1,CITADINO,SÉRGIO-10,1,G,ÁVILA-10,,Z,RADAGASIO,,Z,CASTRO-10,,M,KLUWE,,M,PEDRO-10,,M,TULIO,1,A,GALVÃO,,A,RIBAS,1,A,FIDELLIS,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,11/08/1912,GRÊMIO,G. GEYER,,,16,0,CITADINO,SILLA,0,G,ÁVILA-10,,Z,SCABELON,1,Z,FLORES,,M,KLUWE,1,M,DORNELLES,,M,TULIO,3,A,GALVÃO,4,A,RIBAS,,A,PEDRO-10,3,A,VARES,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,08/06/1913,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,1,2,CITADINO,RUSSOMANO,1,G,ARY-10,,Z,SIMÃO-10,,Z,BARBIERI-10,,M,KLUWE,,M,SCABELON,,M,TULIO,1,A,GALVÃO,,A,RIBAS,,A,PINTO-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,22/06/1913,GRÊMIO,B. VINHOLES,,,6,0,CITADINO,RUSSOMANO,0,G,LOPES,,Z,SIMÃO-10,,Z,LEVITA,,M,KLUWE,,M,SCABELON,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSS BALL,13/07/1913,FUSS BALL,HENRIQUE SOMMER,,,1,1,CITADINO,CAZUZA,1,G,PERY,,Z,SIMÃO-10,,Z,RIBAS,,M,KLUWE,,M,PEDRO-10,,M,TULIO,1,A,GALVÃO,,A,PINTO-10,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISH AUFF,10/08/1913,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,10,1,CITADINO,RUSSOMANO,1,G,PERY,,Z,SIMÃO-10,,Z,NERY,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,GALVÃO,,A,PINTO-10,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,24/08/1913,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,6,0,CITADINO,RUSSOMANO,0,G,PERY,,Z,SIMÃO-10,,Z,NERY,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,GALVÃO,,A,PINTO-10,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,07/09/1913,CHÁCARA DOS EUCALIPTOS,VINHOLES,,,2,0,AMISTOSO,RUSSOMANO,0,G,PERY,,Z,SIMÃO-10,,Z,BORBA,,M,KLUWE,,M,CHAVES,,M,TULIO,,A,GALVÃO,,A,BENDIONDA,1,A,MÜLLER-10,,A,CHAVES,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,11/09/1913,CHÁCARA DOS EUCALIPTOS,OCTACILIO FABRICIO,,,1,3,AMISTOSO,RUSSOMANO,3,G,TATÚ,,Z,SIMÃO-10,,Z,NERY,,M,KLUWE,1,M,CHAVES,,M,TULIO,,A,GALVÃO,,A,BENDIONDA,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO BRANCO,21/09/1913,CHÁCARA DOS EUCALIPTOS,VINHOLES,,,3,2,AMISTOSO,RUSSOMANO,2,G,TATÚ,,Z,SIMÃO-10,,Z,CUNHA,,M,KLUWE,,M,CHAVES,,M,TULIO,,A,GALVÃO,,A,BENDIONDA,1,A,MÜLLER-10,,A,VARES,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISH AUFF,28/09/1913,FRISH AUFF,NÃO CONSTA,,,5,1,CITADINO,RUSSOMANO,1,G,PAULO-10,,Z,SIMÃO-10,,Z,ZÉ PEREIRA,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,GALVÃO,,A,FABRICIO,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,19/04/1914,CHÁCARA DOS EUCALIPTOS,ANTENOR LEMOS,,,6,0,AMISTOSO,LOPES,0,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,PEDRO-10,,M,TULIO,1,A,GALVÃO,,A,RIBAS,2,A,MÜLLER-10,,A,VARES,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,26/04/1914,CHÁCARA DOS EUCALIPTOS,ANTENOR LEMOS,,,2,1,AMISTOSO,BABY,1,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,10/05/1914,CHÁCARA DOS EUCALIPTOS,CARLS,,,7,0,CITADINO,BABY,0,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,GALVÃO,1,A,RIBAS,3,A,MÜLLER-10,1,A,VARES,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICANO,24/05/1914,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,15,2,CITADINO,BABY,2,G,ARY-10,,Z,SIMÃO-10,,Z,MASCARELLO,,M,KLUWE,,M,CHAVES,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISH AUFF,21/06/1914,FRISH AUFF,RUFINO HENRIQUES,,,9,0,CITADINO,SILLA,0,G,BENITO-10,,Z,BEHEREGARAY,,Z,BITÚ,,M,KLUWE,,M,CHAVES,,M,TULIO,1,A,BENDIONDA,,A,RIBAS,4,A,MÜLLER-10,1,A,VARES,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,05/07/1914,CHÁCARA DOS EUCALIPTOS,FEDOCA,,,2,0,CITADINO,SILLA,0,G,SATYRO,,Z,BEHEREGARAY,,Z,BITÚ,,M,KLUWE,,M,PEDRO-10,,M,TULIO,,A,BENITO-10,,A,RIBAS,1,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO GRANDE,14/07/1914,CHÁCARA DOS EUCALIPTOS,ALBERTO PIVA,,,5,1,AMISTOSO,SILLA,1,G,ARY-10,,Z,SATYRO,,Z,PAIXÃO,,M,KLUWE,,M,DARSIS,1,M,TULIO,2,A,BENDIONDA,,A,RIBAS,1,A,MÜLLER-10,,A,VARES,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,20/07/1914,CHÁCARA DOS EUCALIPTOS,ROBERTO PIVA,,,10,2,AMISTOSO,MITA,2,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,02/08/1914,CHÁCARA DOS EUCALIPTOS,ALBERTO PIVA,,,7,0,CITADINO,SILLA,0,G,ARY-10,,Z,BEHEREGARAY,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,BENDIONDA,,A,TAGNIN,,A,SIMÃO-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRASIL DE PELOTAS,06/08/1914,BRASIL DE PELOTAS,SEHELADIGO PEDRO PEHELLA,,,1,0,AMISTOSO,SILLA,0,G,ARY-10,,Z,BEHEREGARAY,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,BENDIONDA,,A,RIBAS,1,A,ZÉ PEREIRA,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO BRANCO,09/08/1914,BRASIL DE PELOTAS,LANTZEN,,,1,1,AMISTOSO,SILLA,1,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,1,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,13/08/1914,GUARANY,AUGUSTO DUPONT,,,2,1,AMISTOSO,SILLA,1,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GALVÃO,2,A,RIBAS,,A,PEDRO-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARANI DE BAGÉ,16/08/1914,GUARANY,AUGUSTO DUPONT,,,2,3,AMISTOSO,SILLA,3,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,TAGNIN,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO BAGÉ,17/08/1914,,NÃO CONSTA,,,2,1,AMISTOSO,SILLA,1,G,ARY-10,,Z,BEHEREGARAY,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,BENDIONDA,,A,RIBAS,,A,KRAMER,,A,VARES,,A,SIMÃO-10,,Z,GODINHO,,A,PAIXÃO,,M,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,23/08/1914,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,6,1,CITADINO,SILLA,1,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,TAGNIN,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 DE JULHO,01/10/1914,CHÁCARA DOS EUCALIPTOS,ALBERTO PIVA,,,0,0,AMISTOSO,TUTU,0,G,ARY-10,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GALVÃO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 DE JULHO,04/10/1914,CHÁCARA DOS EUCALIPTOS,ALBERTO PIVA,,,5,0,AMISTOSO,SIMÃO-10,0,G,ARY-10,,Z,SATYRO,,Z,BITÚ,,M,KLUWE,,M,DARSIS,,M,TULIO,,A,GODINHO,,A,RIBAS,,A,MÜLLER-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,08/11/1914,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,6,0,AMISTOSO,DARSIS,0,G,ARY-10,,Z,BITÚ,,Z,TULIO,,M,SIMÃO-10,,M,MÜLLER-10,1,M,GODINHO,1,A,BENDIONDA,,A,RIBAS,,A,KLUWE,,A,VARES,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO BRANCO,22/11/1914,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,4,4,AMISTOSO,SIMÃO-10,4,G,ARY-10,,Z,SATYRO,,Z,GODINHO,,M,KLUWE,,M,MÜLLER-10,,M,TULIO,,A,BITÚ,,A,RIBAS,2,A,BENDIONDA,,A,VARES,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,25/04/1915,CRUZEIRO,EURICO VIANA,,,2,2,AMISTOSO,RADAGASIO,2,G,BENDIONDA,,Z,SIMÃO-10,,Z,BITÚ,,M,KLUWE,1,M,SILLA,,M,TULIO,,A,PLINIO,,A,GODINHO,,A,FLORES,,A,VARES,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,02/05/1915,,VIANNA I,,,3,0,CITADINO,RUSSOMANO,0,G,SATYRO,,Z,SIMÃO-10,,Z,BITÚ,,M,ANTÔNIO,,M,SILLA,,M,ENIO-10,,A,GODINHO,,A,BENDIONDA,,A,FLORES,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,16/05/1915,CRUZEIRO,COLOMBO,,,7,0,CITADINO,SILLA,0,G,SATYRO,,Z,SIMÃO-10,,Z,BITÚ,,M,MARTEN,,M,LUCIDIO,,M,TULIO,,A,GODINHO,4,A,BENDIONDA,2,A,FLORES,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÃO PAULO DE RIO GRANDE,30/05/1915,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,9,1,CITADINO,DAGO,1,G,SATYRO,,Z,SIMÃO-10,,Z,BITÚ,,M,GODINHO,,M,SILLA,,M,TULIO,,A,MENNA,,A,RIBAS,,A,BENDIONDA,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO,11/06/1915,CHÁCARA DOS EUCALIPTOS,NÃO CONSTA,,,7,0,CITADINO,SILLA,0,G,SATYRO,,Z,FIDELLIS,,Z,BITÚ,,M,TRAVASSOS,,M,LUCIDIO,,M,TULIO,,A,GODINHO,,A,BENDIONDA,,A,FLORES,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZEIRO POA,27/06/1915,CHÁCARA DOS EUCALIPTOS,FELIZARDO ÁVILA,,,6,2,AMISTOSO,SILLA,2,G,SATYRO,,Z,SIMÃO-10,,Z,BITÚ,,M,DORNELLES,,M,LUCIDIO,,M,TULIO,,A,SCHMITH,,A,BENDIONDA,,A,ENIO-10,,A,VARES,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUL BRASIL,18/07/1915,URUGUAIANA,,,,5,1,AMISTOSO,,,G,,,Z,,,Z,,,M,,,M,,,M,,,A,,,A,,,A,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPERANÇA,20/07/1915,URUGUAIANA,,,,3,2,AMISTOSO,,,G,,,Z,,,Z,,,M,,,M,,,M,,,A,,,A,,,A,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO DE URUGUAIANA,23/07/1915,URUGUAIANA,,,,4,1,AMISTOSO,,,G,,,Z,,,Z,,,M,,,M,,,M,,,A,,,A,,,A,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
