#,Data,PenaltisMandante,Mandante,GolsMandante,GolsVisitante,Visitante,PenaltisVisitante,Competicao,Estadio,Cidade,Arbitro,ArbitroLocal,Gol1,Gol2,Gol3,Gol4,Gol5,Gol6,Gol7,Gol8,Gol9,Gol10,Gol11,Tecnico Gremio,Tecnico Inter
358,07/03/2004,,Grêmio,1,2,Internacional,,Gauchão,Olímpico,Porto Alegre,Carlos Simon,SIM,Élder Granja,Nilmar,Christian,,,,,,,,,Adílson Baptista,Lori Sandri
359,04/04/2004,,Grêmio,1,2,Internacional,,Gauchão,Montanha dos Vinhedos,Bento Gonçalves,Leonardo Gaciba,SIM,Luciano Ratinho,Edinho,Nilmar,,,,,,,,,Adílson Baptista,Lori Sandri
360,10/07/2004,,Internacional,2,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Paulo César de Oliveira,NÃO,Vinícius,Fernandão,,,,,,,,,,José Luiz Plein,Joel Santana
361,15/09/2004,,Internacional,2,0,Grêmio,,Copa Sul-Americana,Beira-Rio,Porto Alegre,Márcio Rezende de Freitas,NÃO,Fernandão,Chiquinho,,,,,,,,,,Cuca,Muricy Ramalho
362,22/09/2004,,Grêmio,2,1,Internacional,,Copa Sul-Americana,Olímpico,Porto Alegre,Paulo César de Oliveira,NÃO,Chiquinho,Cláudio Pitbull,Roberto Santos,,,,,,,,,Cuca,Muricy Ramalho
363,23/10/2004,,Grêmio,1,3,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Paulo César de Oliveira,NÃO,Diego,Fernandão,Rodrigo Paulista,Anderson,,,,,,,,Cuca,Muricy Ramalho
364,01/04/2006,,Grêmio,0,0,Internacional,,Gauchão,Olímpico,Porto Alegre,Carlos Simon,SIM,,,,,,,,,,,,Mano Menezes,Abel Braga
365,09/04/2006,,Internacional,1,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leandro Vuaden,SIM,Fernandão,Pedro Júnior,,,,,,,,,,Mano Menezes,Abel Braga
366,30/07/2006,,Internacional,0,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Wílson Luiz Seneme,NÃO,,,,,,,,,,,,Mano Menezes,Abel Braga
367,05/11/2006,,Grêmio,0,1,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Carlos Simon,SIM,Iarley,,,,,,,,,,,Mano Menezes,Abel Braga
368,24/06/2007,,Internacional,0,2,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Wílson Luiz Seneme,NÃO,Lúcio,Diego Souza,,,,,,,,,,Mano Menezes,Gallo
369,16/09/2007,,Grêmio,1,0,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Héber Roberto Lopes,NÃO,Léo,,,,,,,,,,,Mano Menezes,Abel Braga
370,29/06/2008,,Grêmio,1,1,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Alício Pena Júnior,NÃO,Índio,Roger,,,,,,,,,,Celso Roth,Tite
371,13/08/2008,,Internacional,1,1,Grêmio,,Copa Sul-Americana,Beira-Rio,Porto Alegre,Sálvio Spínola,NÃO,Daniel Carvalho,Léo,,,,,,,,,,Celso Roth,Tite
372,28/08/2008,,Grêmio,2,2,Internacional,,Copa Sul-Americana,Olímpico,Porto Alegre,Leonardo Gaciba,SIM,Nilmar,Índio,Perea,Soares,,,,,,,,Celso Roth,Tite
373,28/09/2008,,Internacional,4,1,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Evandro Rogério Roman,NÃO,D'Alessandro,Tcheco,Alex,Índio,Nilmar,,,,,,,Celso Roth,Tite
374,08/02/2009,,Internacional,2,1,Grêmio,,Gauchão,Colosso da Lagoa,Erechim,Carlos Simon,SIM,D'Alessandro,Jonas,Nilmar,,,,,,,,,Celso Roth,Tite
375,01/03/2009,,Internacional,2,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leonardo Gaciba,SIM,Índio,Alex Mineiro,Magrão,,,,,,,,,Celso Roth,Tite
376,05/04/2009,,Internacional,2,1,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leonardo Gaciba,SIM,Tcheco,Andrezinho,Índio,,,,,,,,,Celso Roth,Tite
377,19/07/2009,,Grêmio,2,1,Internacional,,Campeonato Brasileiro,Olímpico,Porto Alegre,Leonardo Gaciba,SIM,Nilmar,Souza,Máxi López,,,,,,,,,Paulo Autuori,Tite
378,25/10/2009,,Internacional,1,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Wílson Luiz Seneme,NÃO,D'Alessandro,,,,,,,,,,,Paulo Autuori,Mário Sérgio
379,31/01/2010,,Internacional,1,0,Grêmio,,Gauchão,Colosso da Lagoa,Erechim,Leandro Vuaden,SIM,Alecsandro,,,,,,,,,,,Silas,Jorge Fossati
380,25/04/2010,,Internacional,0,2,Grêmio,,Gauchão,Beira-Rio,Porto Alegre,Leonardo Gaciba,SIM,Borges,Rodrigo,,,,,,,,,,Silas,Jorge Fossati
381,02/05/2010,,Grêmio,0,1,Internacional,,Gauchão,Olímpico,Porto Alegre,Leandro Vuaden,SIM,Giuliano,,,,,,,,,,,Silas,Jorge Fossati
382,01/08/2010,,Internacional,0,0,Grêmio,,Campeonato Brasileiro,Beira-Rio,Porto Alegre,Sálvio Spínola,NÃO,,,,,,,,,,,,Silas,Celso Roth
