id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
1012554,2020-08-08,Round 1,Coritiba,0,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/v5eyuw1601403887.jpg
1012522,2020-08-09,Round 1,Sport Club do Recife,3,Ceara,2,,https://r2.thesportsdb.com/images/media/event/thumb/yrteoq1601403890.jpg
1012553,2020-08-09,Round 1,Fortaleza,0,Atletico PR,2,,https://r2.thesportsdb.com/images/media/event/thumb/6hw15s1601403891.jpg
1009417,2020-08-09,Round 1,Flamengo,0,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/haumop1601403889.jpg
1009420,2020-08-09,Round 1,Santos FC,1,Bragantino,1,,https://r2.thesportsdb.com/images/media/event/thumb/ma9lr31601403890.jpg
1009422,2020-08-10,Round 1,Gremio,1,Fluminense,0,,https://r2.thesportsdb.com/images/media/event/thumb/m1mcxz1601403894.jpg
1014073,2020-08-12,Round 2,Atletico MG,3,Corinthians,2,,https://r2.thesportsdb.com/images/media/event/thumb/skvcz61601403895.jpg
1014074,2020-08-12,Round 2,Atletico PR,2,Goias,1,,https://r2.thesportsdb.com/images/media/event/thumb/p7zer91601403896.jpg
1014075,2020-08-12,Round 2,Bragantino,1,Botafogo RJ,1,,https://r2.thesportsdb.com/images/media/event/thumb/nk4dov1601403896.jpg
1014076,2020-08-12,Round 2,Bahia,1,Coritiba,0,,https://r2.thesportsdb.com/images/media/event/thumb/re79ce1601403897.jpg
1014077,2020-08-12,Round 2,Atletico GO,3,Flamengo,0,,https://r2.thesportsdb.com/images/media/event/thumb/uy01cr1601403898.jpg
1014078,2020-08-13,Round 2,Fluminense,1,Palmeiras,1,,https://r2.thesportsdb.com/images/media/event/thumb/2x92281601403900.jpg
1014079,2020-08-13,Round 2,Ceara,1,Gremio,1,,https://r2.thesportsdb.com/images/media/event/thumb/emvhvh1601403901.jpg
1014080,2020-08-13,Round 2,Sao Paulo,1,Fortaleza,0,,https://r2.thesportsdb.com/images/media/event/thumb/u4l9s01601403901.jpg
1014081,2020-08-13,Round 2,Internacional,2,Santos FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/izzr3e1601403902.jpg
1019432,2020-08-13,Round 2,Vasco da Gama,2,Sport Club do Recife,0,,https://r2.thesportsdb.com/images/media/event/thumb/thb2oe1601403899.jpg
1014084,2020-08-15,Round 3,Coritiba,0,Flamengo,1,,https://r2.thesportsdb.com/images/media/event/thumb/tvqmtk1601403903.jpg
1014083,2020-08-16,Round 3,Gremio,0,Corinthians,0,,https://r2.thesportsdb.com/images/media/event/thumb/uvzq881601403904.jpg
1014085,2020-08-16,Round 3,Palmeiras,1,Goias,1,,https://r2.thesportsdb.com/images/media/event/thumb/oqk2661601403905.jpg
1014086,2020-08-16,Round 3,Atletico MG,2,Ceara,0,,https://r2.thesportsdb.com/images/media/event/thumb/9efzvq1601403906.jpg
1014087,2020-08-16,Round 3,Vasco da Gama,2,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/s7uvy41601403907.jpg
1014088,2020-08-16,Round 3,Bahia,2,Bragantino,1,,https://r2.thesportsdb.com/images/media/event/thumb/t8b24w1601403907.jpg
1014090,2020-08-16,Round 3,Fluminense,2,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/dkmuta1601403909.jpg
1014089,2020-08-16,Round 3,Fortaleza,0,Botafogo RJ,0,,https://r2.thesportsdb.com/images/media/event/thumb/ro9sno1601403908.jpg
1014092,2020-08-16,Round 3,Santos FC,3,Atletico PR,1,,https://r2.thesportsdb.com/images/media/event/thumb/410xp11601403910.jpg
1014091,2020-08-17,Round 3,Atletico GO,1,Sport Club do Recife,1,,https://r2.thesportsdb.com/images/media/event/thumb/onhcbr1601403911.jpg
1014093,2020-08-19,Round 4,Flamengo,1,Gremio,1,,https://r2.thesportsdb.com/images/media/event/thumb/t2ah7n1601403912.jpg
1014094,2020-08-19,Round 4,Bragantino,2,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/b5nkwu1601403912.jpg
1014095,2020-08-19,Round 4,Atletico PR,0,Palmeiras,1,,https://r2.thesportsdb.com/images/media/event/thumb/e1ku921601403913.jpg
1032667,2020-08-19,Round 4,Goias,1,Fortaleza,3,,https://r2.thesportsdb.com/images/media/event/thumb/j2tzum1601403915.jpg
1032666,2020-08-19,Round 4,Internacional,3,Atletico GO,0,,https://r2.thesportsdb.com/images/media/event/thumb/ydakhm1601403914.jpg
1014098,2020-08-20,Round 4,Botafogo RJ,2,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/yjxon11601403916.jpg
1014099,2020-08-20,Round 4,Corinthians,3,Coritiba,1,,https://r2.thesportsdb.com/images/media/event/thumb/mjakcu1601403916.jpg
1014100,2020-08-20,Round 4,Sport Club do Recife,0,Santos FC,1,,https://r2.thesportsdb.com/images/media/event/thumb/2wvs0f1601403917.jpg
1033596,2020-08-20,Round 4,Sao Paulo,1,Bahia,1,,https://r2.thesportsdb.com/images/media/event/thumb/5p0wv91601403918.jpg
1033597,2020-08-20,Round 4,Ceara,0,Vasco da Gama,3,,https://r2.thesportsdb.com/images/media/event/thumb/uguce01601403919.jpg
1014103,2020-08-22,Round 5,Atletico PR,0,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/xeqt5g1601403920.jpg
1014105,2020-08-23,Round 5,Internacional,1,Atletico MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/ld3fmo1601403921.jpg
1014106,2020-08-23,Round 5,Goias,2,Atletico GO,0,,https://r2.thesportsdb.com/images/media/event/thumb/nq81bm1601403922.jpg
1014107,2020-08-23,Round 5,Flamengo,1,Botafogo RJ,1,,https://r2.thesportsdb.com/images/media/event/thumb/8wf4cv1601403922.jpg
1014108,2020-08-23,Round 5,Vasco da Gama,0,Gremio,0,,https://r2.thesportsdb.com/images/media/event/thumb/997vsd1601403923.jpg
1014109,2020-08-23,Round 5,Palmeiras,2,Santos FC,1,,https://r2.thesportsdb.com/images/media/event/thumb/pb6urz1601403924.jpg
1014110,2020-08-23,Round 5,Bragantino,1,Coritiba,2,,https://r2.thesportsdb.com/images/media/event/thumb/3paku71601403925.jpg
