id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
601314,2019-04-27,Round 1,Sao Paulo,2,Botafogo RJ,0,,
601315,2019-04-27,Round 1,Chapecoense AF,2,Internacional,0,,
601316,2019-04-27,Round 1,Atletico MG,2,Avai FC,1,,
601317,2019-04-28,Round 1,Flamengo,3,Cruzeiro,1,,
601318,2019-04-28,Round 1,Gremio,1,Santos FC,2,,
601319,2019-04-28,Round 1,Bahia,3,Corinthians,2,,
601320,2019-04-28,Round 1,Ceara,4,CS Alagoano,0,,
601321,2019-04-28,Round 1,Atletico PR,4,Vasco da Gama,1,,
601322,2019-04-28,Round 1,Fluminense,0,Goias,1,,
601323,2019-04-28,Round 1,Palmeiras,4,Fortaleza,0,,
601324,2019-05-01,Round 2,Internacional,2,Flamengo,1,,
601325,2019-05-01,Round 2,CS Alagoano,1,Palmeiras,1,,
601326,2019-05-01,Round 2,Corinthians,1,Chapecoense AF,0,,
601327,2019-05-01,Round 2,Avai FC,1,Gremio,1,,
601328,2019-05-01,Round 2,Cruzeiro,1,Ceara,0,,
601329,2019-05-02,Round 2,Goias,1,Sao Paulo,2,,
601330,2019-05-02,Round 2,Fortaleza,2,Atletico PR,1,,
601331,2019-05-02,Round 2,Vasco da Gama,1,Atletico MG,2,,
601332,2019-05-02,Round 2,Santos FC,0,Fluminense,0,,
601333,2019-05-03,Round 2,Botafogo RJ,0,Bahia,0,,
601334,2019-05-04,Round 3,Palmeiras,1,Internacional,0,,
601335,2019-05-04,Round 3,Vasco da Gama,1,Corinthians,1,,
601336,2019-05-05,Round 3,Ceara,1,Atletico MG,2,,
601337,2019-05-05,Round 3,Chapecoense AF,1,Atletico PR,1,,
601338,2019-05-05,Round 3,CS Alagoano,0,Santos FC,0,,
601339,2019-05-05,Round 3,Sao Paulo,1,Flamengo,1,,
601340,2019-05-05,Round 3,Botafogo RJ,1,Fortaleza,0,,
601341,2019-05-05,Round 3,Cruzeiro,2,Goias,1,,
601342,2019-05-05,Round 3,Gremio,4,Fluminense,5,,
601343,2019-05-05,Round 3,Bahia,1,Avai FC,0,,
601344,2019-05-11,Round 4,Fluminense,0,Botafogo RJ,1,,
601345,2019-05-11,Round 4,Corinthians,0,Gremio,0,,
601346,2019-05-12,Round 4,Goias,2,Ceara,1,,
601347,2019-05-12,Round 4,Flamengo,2,Chapecoense AF,1,,
601348,2019-05-12,Round 4,Internacional,3,Cruzeiro,1,,
601349,2019-05-12,Round 4,Atletico MG,0,Palmeiras,2,,
601350,2019-05-12,Round 4,Santos FC,3,Vasco da Gama,0,,
601351,2019-05-12,Round 4,Fortaleza,0,Sao Paulo,1,,
601352,2019-05-12,Round 4,Avai FC,0,CS Alagoano,0,,
601353,2019-05-12,Round 4,Atletico PR,1,Bahia,0,,
601354,2019-05-18,Round 5,Fluminense,4,Cruzeiro,1,,
601355,2019-05-18,Round 5,Palmeiras,4,Santos FC,0,,
601356,2019-05-18,Round 5,Atletico MG,2,Flamengo,1,,
601357,2019-05-19,Round 5,Sao Paulo,0,Bahia,0,,
601358,2019-05-19,Round 5,Chapecoense AF,1,Fortaleza,3,,
601359,2019-05-19,Round 5,Atletico PR,0,Corinthians,2,,
601360,2019-05-19,Round 5,Internacional,2,CS Alagoano,0,,
601361,2019-05-19,Round 5,Goias,1,Botafogo RJ,0,,
601362,2019-05-19,Round 5,Vasco da Gama,1,Avai FC,1,,
601363,2019-05-19,Round 5,Ceara,2,Gremio,1,,
601364,2019-05-25,Round 6,Botafogo RJ,0,Palmeiras,1,,
601365,2019-05-25,Round 6,Gremio,1,Atletico MG,0,,
601366,2019-05-26,Round 6,Santos FC,0,Internacional,0,,
601367,2019-05-26,Round 6,Flamengo,3,Atletico PR,2,,
601368,2019-05-26,Round 6,Fortaleza,1,Vasco da Gama,1,,
601369,2019-05-26,Round 6,Corinthians,1,Sao Paulo,0,,
601370,2019-05-26,Round 6,Cruzeiro,1,Chapecoense AF,2,,
601371,2019-05-26,Round 6,Bahia,3,Fluminense,2,,
601372,2019-05-28,Round 6,Avai FC,1,Ceara,2,,
601373,2019-05-28,Round 6,CS Alagoano,1,Goias,0,,
601374,2019-06-01,Round 7,Bahia,1,Gremio,0,,
601375,2019-06-01,Round 7,Flamengo,,Fortaleza,,,
601383,2019-06-02,Round 7,Atletico MG,4,CS Alagoano,0,,
601377,2019-06-02,Round 7,Botafogo RJ,1,Vasco da Gama,0,,
601378,2019-06-02,Round 7,Ceara,0,Santos FC,1,,
601379,2019-06-02,Round 7,Atletico PR,3,Fluminense,0,,
601380,2019-06-02,Round 7,Sao Paulo,1,Cruzeiro,1,,
601381,2019-06-02,Round 7,Chapecoense AF,,Palmeiras,,,
601382,2019-06-02,Round 7,Internacional,2,Avai FC,0,,
601388,2019-06-08,Round 8,Cruzeiro,0,Corinthians,0,,
601384,2019-06-08,Round 8,Vasco da Gama,2,Internacional,1,,
601385,2019-06-08,Round 8,Ceara,0,Bahia,0,,
601386,2019-06-08,Round 8,Gremio,1,Fortaleza,0,,
601387,2019-06-08,Round 8,Palmeiras,1,Atletico PR,0,,
601389,2019-06-09,Round 8,Avai FC,0,Sao Paulo,0,,
601390,2019-06-09,Round 8,Santos FC,3,Atletico MG,1,,
601391,2019-06-09,Round 8,Fluminense,0,Flamengo,0,,
601392,2019-06-09,Round 8,CS Alagoano,1,Botafogo RJ,2,,
601393,2019-06-11,Round 8,Goias,3,Chapecoense AF,1,,
601394,2019-06-12,Round 9,Botafogo RJ,0,Gremio,1,,
601395,2019-06-13,Round 9,Fortaleza,2,Cruzeiro,1,,
601396,2019-06-13,Round 9,CS Alagoano,0,Flamengo,2,,
601397,2019-06-13,Round 9,Santos FC,1,Corinthians,0,,
601398,2019-06-13,Round 9,Internacional,3,Bahia,1,,
601399,2019-06-13,Round 9,Vasco da Gama,1,Ceara,0,,
601400,2019-06-14,Round 9,Atletico MG,1,Sao Paulo,1,,
601401,2019-06-14,Round 9,Goias,2,Atletico PR,1,,
601402,2019-06-14,Round 9,Palmeiras,2,Avai FC,0,,
601403,2019-06-14,Round 9,Chapecoense AF,1,Fluminense,1,,
601413,2019-07-13,Round 10,Fortaleza,2,Avai FC,0,,
601409,2019-07-13,Round 10,Gremio,2,Vasco da Gama,1,,
601412,2019-07-13,Round 10,Bahia,0,Santos FC,1,,
601406,2019-07-13,Round 10,Sao Paulo,1,Palmeiras,1,,
601404,2019-07-14,Round 10,Atletico PR,1,Internacional,0,,
601405,2019-07-14,Round 10,Corinthians,1,CS Alagoano,0,,
601407,2019-07-14,Round 10,Flamengo,6,Goias,1,,
601410,2019-07-14,Round 10,Chapecoense AF,1,Atletico MG,2,,
601411,2019-07-14,Round 10,Cruzeiro,0,Botafogo RJ,0,,
601408,2019-07-16,Round 10,Fluminense,1,Ceara,1,,
601415,2019-07-20,Round 11,Internacional,1,Gremio,1,,
601418,2019-07-20,Round 11,Bahia,0,Cruzeiro,0,,
601419,2019-07-20,Round 11,Ceara,2,Palmeiras,0,,
601420,2019-07-20,Round 11,CS Alagoano,0,Atletico PR,4,,
601423,2019-07-20,Round 11,Vasco da Gama,2,Fluminense,1,,
601414,2019-07-21,Round 11,Botafogo RJ,0,Santos FC,1,,
601416,2019-07-21,Round 11,Avai FC,0,Goias,0,,
601417,2019-07-21,Round 11,Atletico MG,2,Fortaleza,2,,
601421,2019-07-21,Round 11,Corinthians,1,Flamengo,1,,
601422,2019-07-23,Round 11,Sao Paulo,4,Chapecoense AF,0,,
601427,2019-07-27,Round 12,Palmeiras,1,Vasco da Gama,1,,
601430,2019-07-27,Round 12,Fluminense,1,Sao Paulo,2,,
601431,2019-07-27,Round 12,Internacional,1,Ceara,0,,
601433,2019-07-27,Round 12,Cruzeiro,0,Atletico PR,2,,
601424,2019-07-28,Round 12,Goias,0,Atletico MG,0,,
601425,2019-07-28,Round 12,Fortaleza,1,Corinthians,3,,
601428,2019-07-28,Round 12,Santos FC,3,Avai FC,1,,
