id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
1468055,2022-04-09,Round 1,Fluminense,0,Santos FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/b776861644935537.jpg
1468061,2022-04-09,Round 1,Atletico GO,1,Flamengo,1,,https://r2.thesportsdb.com/images/media/event/thumb/50cehz1644935539.jpg
1468057,2022-04-10,Round 1,Palmeiras,2,Ceara,3,,https://r2.thesportsdb.com/images/media/event/thumb/vej68c1644935537.jpg
1468063,2022-04-10,Round 1,Coritiba,3,Goias,0,,https://r2.thesportsdb.com/images/media/event/thumb/ezqn581644935539.jpg
1468054,2022-04-10,Round 1,Atletico MG,2,Internacional,0,,https://r2.thesportsdb.com/images/media/event/thumb/6nlkuv1644935537.jpg
1468058,2022-04-10,Round 1,Botafogo RJ,1,Corinthians,3,,https://r2.thesportsdb.com/images/media/event/thumb/wr7ts11644935538.jpg
1468060,2022-04-10,Round 1,Fortaleza,0,Cuiaba,1,,https://r2.thesportsdb.com/images/media/event/thumb/3abzio1644935538.jpg
1468056,2022-04-10,Round 1,Sao Paulo,4,Atletico PR,0,,https://r2.thesportsdb.com/images/media/event/thumb/qc5gmr1644935537.jpg
1468062,2022-04-10,Round 1,Avai FC,1,America MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/5q608w1644935539.jpg
1468059,2022-04-11,Round 1,Juventude,2,Bragantino,2,,https://r2.thesportsdb.com/images/media/event/thumb/qyturn1644935538.jpg
1468071,2022-04-16,Round 2,Goias,1,Palmeiras,1,,https://r2.thesportsdb.com/images/media/event/thumb/kxp7gx1644935541.jpg
1468064,2022-04-16,Round 2,America MG,4,Juventude,1,,https://r2.thesportsdb.com/images/media/event/thumb/dpymxn1644935539.jpg
1468067,2022-04-16,Round 2,Corinthians,3,Avai FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/l0ndui1644935540.jpg
1468072,2022-04-17,Round 2,Cuiaba,0,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/fd8thh1644935542.jpg
1468068,2022-04-17,Round 2,Santos FC,2,Coritiba,1,,https://r2.thesportsdb.com/images/media/event/thumb/nbgfd41644935541.jpg
1468065,2022-04-17,Round 2,Flamengo,3,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/oge7ps1644935540.jpg
1468066,2022-04-17,Round 2,Bragantino,4,Atletico GO,0,,https://r2.thesportsdb.com/images/media/event/thumb/5px39d1644935540.jpg
1468069,2022-04-17,Round 2,Internacional,2,Fortaleza,1,,https://r2.thesportsdb.com/images/media/event/thumb/3cpfbv1644935541.jpg
1468073,2022-04-17,Round 2,Atletico PR,0,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/fa3uub1644935542.jpg
1468070,2022-04-17,Round 2,Ceara,1,Botafogo RJ,3,,https://r2.thesportsdb.com/images/media/event/thumb/kru0iy1644935541.jpg
1468085,2022-04-20,Round 4,Flamengo,0,Palmeiras,0,,https://r2.thesportsdb.com/images/media/event/thumb/gmxuis1644935546.jpg
1468083,2022-04-23,Round 3,Atletico PR,1,Flamengo,0,,https://r2.thesportsdb.com/images/media/event/thumb/c7l3fe1644935545.jpg
1468076,2022-04-23,Round 3,Bragantino,1,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/ghwq6l1644935543.jpg
1468077,2022-04-23,Round 3,Palmeiras,3,Corinthians,0,,https://r2.thesportsdb.com/images/media/event/thumb/3r3ppa1644935543.jpg
1468075,2022-04-23,Round 3,Fluminense,0,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/1cs61g1644935543.jpg
1468074,2022-04-24,Round 3,Atletico MG,2,Coritiba,2,,https://r2.thesportsdb.com/images/media/event/thumb/9bffmp1644935542.jpg
1468078,2022-04-24,Round 3,Santos FC,3,America MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/8rtldg1644935544.jpg
1468079,2022-04-24,Round 3,Juventude,0,Cuiaba,1,,https://r2.thesportsdb.com/images/media/event/thumb/ulf5h71644935544.jpg
1468081,2022-04-24,Round 3,Atletico GO,1,Botafogo RJ,1,,https://r2.thesportsdb.com/images/media/event/thumb/vnlzju1644935545.jpg
1468082,2022-04-25,Round 3,Avai FC,3,Goias,2,,https://r2.thesportsdb.com/images/media/event/thumb/mf0c641644935545.jpg
1468084,2022-04-30,Round 4,America MG,1,Atletico PR,0,,https://r2.thesportsdb.com/images/media/event/thumb/43bqas1644935545.jpg
1468090,2022-04-30,Round 4,Ceara,0,Bragantino,1,,https://r2.thesportsdb.com/images/media/event/thumb/s1gklt1644935547.jpg
1468091,2022-04-30,Round 4,Goias,2,Atletico MG,2,,https://r2.thesportsdb.com/images/media/event/thumb/bqnt751644935547.jpg
1468092,2022-04-30,Round 4,Cuiaba,1,Atletico GO,1,,https://r2.thesportsdb.com/images/media/event/thumb/nbrxyd1644935548.jpg
1468088,2022-05-01,Round 4,Botafogo RJ,1,Juventude,1,,https://r2.thesportsdb.com/images/media/event/thumb/c3lt2u1644935547.jpg
1468087,2022-05-01,Round 4,Corinthians,1,Fortaleza,0,,https://r2.thesportsdb.com/images/media/event/thumb/j5j8su1644935546.jpg
1468093,2022-05-01,Round 4,Coritiba,3,Fluminense,2,,https://r2.thesportsdb.com/images/media/event/thumb/pdzdkb1644935548.jpg
1468089,2022-05-01,Round 4,Internacional,0,Avai FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/cn0yhg1644935547.jpg
1468086,2022-05-02,Round 4,Sao Paulo,2,Santos FC,1,,https://r2.thesportsdb.com/images/media/event/thumb/i7l1g61644935546.jpg
1468094,2022-05-07,Round 5,Atletico MG,1,America MG,2,,https://r2.thesportsdb.com/images/media/event/thumb/bhseol1644935548.jpg
1468103,2022-05-07,Round 5,Atletico PR,1,Ceara,0,,https://r2.thesportsdb.com/images/media/event/thumb/zo4g7d1644935551.jpg
1468095,2022-05-08,Round 5,Flamengo,0,Botafogo RJ,1,,https://r2.thesportsdb.com/images/media/event/thumb/r01e4x1644935549.jpg
1468101,2022-05-08,Round 5,Atletico GO,0,Goias,1,,https://r2.thesportsdb.com/images/media/event/thumb/wu6xnd1644935550.jpg
1468097,2022-05-08,Round 5,Palmeiras,1,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/y3jbqy1644935549.jpg
1468096,2022-05-08,Round 5,Bragantino,0,Corinthians,1,,https://r2.thesportsdb.com/images/media/event/thumb/ejumty1644935549.jpg
1468098,2022-05-08,Round 5,Santos FC,4,Cuiaba,1,,https://r2.thesportsdb.com/images/media/event/thumb/rhloy31644935549.jpg
1468100,2022-05-08,Round 5,Fortaleza,1,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/1857ea1644935550.jpg
