id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
1970362,2024-04-13,Round 1,Internacional,2,Bahia,1,,https://r2.thesportsdb.com/images/media/event/thumb/0943cq1601403952.jpg
1970371,2024-04-13,Round 1,Criciuma,1,Juventude,1,,https://r2.thesportsdb.com/images/media/event/thumb/m59z801712996936.jpg
1970365,2024-04-14,Round 1,Fluminense,2,Bragantino,2,,https://r2.thesportsdb.com/images/media/event/thumb/5e58xl1644935590.jpg
1970368,2024-04-14,Round 1,Sao Paulo,1,Fortaleza,2,,https://r2.thesportsdb.com/images/media/event/thumb/y4zum21644935605.jpg
1970366,2024-04-14,Round 1,Vasco da Gama,2,Gremio,1,,https://r2.thesportsdb.com/images/media/event/thumb/997vsd1601403923.jpg
1970367,2024-04-14,Round 1,Corinthians,0,Atletico MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/u0g30w1644935646.jpg
1970369,2024-04-14,Round 1,Atletico PR,4,Cuiaba,0,,https://r2.thesportsdb.com/images/media/event/thumb/u34j0e1644935615.jpg
1970370,2024-04-14,Round 1,Atletico GO,1,Flamengo,2,,https://r2.thesportsdb.com/images/media/event/thumb/50cehz1644935539.jpg
1970363,2024-04-14,Round 1,Cruzeiro,3,Botafogo RJ,2,,https://r2.thesportsdb.com/images/media/event/thumb/lp9fui1676626737.jpg
1970364,2024-04-14,Round 1,Vitoria,0,Palmeiras,1,,https://r2.thesportsdb.com/images/media/event/thumb/1n023f1712996935.jpg
1970374,2024-04-17,Round 2,Bahia,2,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/y5qq1r1601404182.jpg
1970372,2024-04-17,Round 2,Gremio,2,Atletico PR,0,,https://r2.thesportsdb.com/images/media/event/thumb/7vew7e1601404215.jpg
1970378,2024-04-17,Round 2,Bragantino,2,Vasco da Gama,1,,https://r2.thesportsdb.com/images/media/event/thumb/g6quzl1601404146.jpg
1970373,2024-04-17,Round 2,Atletico MG,1,Criciuma,1,,https://r2.thesportsdb.com/images/media/event/thumb/mqcfdg1712996936.jpg
1970379,2024-04-17,Round 2,Fortaleza,1,Cruzeiro,1,,https://r2.thesportsdb.com/images/media/event/thumb/s17y8o1676626746.jpg
1970381,2024-04-17,Round 2,Juventude,2,Corinthians,0,,https://r2.thesportsdb.com/images/media/event/thumb/diu9fs1644935623.jpg
1970377,2024-04-17,Round 2,Palmeiras,0,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/31y4b21644935590.jpg
1970375,2024-04-18,Round 2,Flamengo,2,Sao Paulo,1,,https://r2.thesportsdb.com/images/media/event/thumb/oge7ps1644935540.jpg
1970376,2024-04-19,Round 2,Botafogo RJ,1,Atletico GO,0,,https://r2.thesportsdb.com/images/media/event/thumb/veac511644935599.jpg
1970385,2024-04-20,Round 3,Fluminense,2,Vasco da Gama,1,,https://r2.thesportsdb.com/images/media/event/thumb/0vo15l1601403931.jpg
1970382,2024-04-20,Round 3,Gremio,1,Cuiaba,0,,https://r2.thesportsdb.com/images/media/event/thumb/5mrrs01676626740.jpg
1970388,2024-04-20,Round 3,Bragantino,1,Corinthians,0,,https://r2.thesportsdb.com/images/media/event/thumb/ejumty1644935549.jpg
1970383,2024-04-21,Round 3,Atletico MG,3,Cruzeiro,0,,https://r2.thesportsdb.com/images/media/event/thumb/p5l6b21676626744.jpg
1970384,2024-04-21,Round 3,Vitoria,2,Bahia,2,,https://r2.thesportsdb.com/images/media/event/thumb/ss7k2g1712996937.jpg
1970387,2024-04-21,Round 3,Palmeiras,0,Flamengo,0,,https://r2.thesportsdb.com/images/media/event/thumb/c9rhwo1644935602.jpg
1970389,2024-04-21,Round 3,Atletico PR,1,Internacional,0,,https://r2.thesportsdb.com/images/media/event/thumb/jokd0y1644935586.jpg
1970386,2024-04-21,Round 3,Botafogo RJ,5,Juventude,1,,https://r2.thesportsdb.com/images/media/event/thumb/l1mpcr1712996937.jpg
1970390,2024-04-21,Round 3,Atletico GO,0,Sao Paulo,3,,https://r2.thesportsdb.com/images/media/event/thumb/lxw97g1644935580.jpg
1970396,2024-04-27,Round 4,Vasco da Gama,0,Criciuma,4,,https://r2.thesportsdb.com/images/media/event/thumb/6lubta1712996939.jpg
1970400,2024-04-27,Round 4,Cuiaba,0,Atletico MG,3,,https://r2.thesportsdb.com/images/media/event/thumb/hpf72h1644935589.jpg
1970394,2024-04-28,Round 4,Bahia,1,Gremio,0,,https://r2.thesportsdb.com/images/media/event/thumb/hdh0xn1601403963.jpg
1970395,2024-04-28,Round 4,Flamengo,0,Botafogo RJ,2,,https://r2.thesportsdb.com/images/media/event/thumb/r01e4x1644935549.jpg
