id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
520898,2016-05-14,Round 1,Flamengo,1,Sport,0,,
520899,2016-05-14,Round 1,Palmeiras,4,Atletico PR,0,,
520900,2016-05-14,Round 1,Atletico MG,1,Santos FC,0,,
520901,2016-05-15,Round 1,Coritiba,1,Cruzeiro,0,,
520902,2016-05-15,Round 1,Botafogo RJ,0,Sao Paulo,1,,
520903,2016-05-15,Round 1,Santa Cruz,4,Vitoria,1,,
520904,2016-05-15,Round 1,Figueirense,0,Ponte Preta,0,,
520905,2016-05-15,Round 1,America MG,0,Fluminense,1,,
520906,2016-05-15,Round 1,Corinthians,0,Gremio,0,,
520907,2016-05-15,Round 1,Internacional,0,Chapecoense AF,0,,
520908,2016-05-21,Round 2,Ponte Preta,2,Palmeiras,1,,
520909,2016-05-21,Round 2,Fluminense,2,Santa Cruz,2,,
520910,2016-05-22,Round 2,Cruzeiro,2,Figueirense,2,,
520911,2016-05-22,Round 2,Atletico PR,1,Atletico MG,1,,
520912,2016-05-22,Round 2,Santos FC,2,Coritiba,1,,
520913,2016-05-22,Round 2,Vitoria,3,Corinthians,2,,
520914,2016-05-22,Round 2,Chapecoense AF,3,America MG,1,,
520915,2016-05-22,Round 2,Sao Paulo,1,Internacional,2,,
520916,2016-05-22,Round 2,Gremio,1,Flamengo,0,,
520917,2016-05-22,Round 2,Sport,1,Botafogo RJ,1,,
520918,2016-05-25,Round 3,Botafogo RJ,2,Atletico PR,1,,
520919,2016-05-25,Round 3,Figueirense,2,Santos FC,2,,
520920,2016-05-26,Round 3,America MG,1,Vitoria,1,,
520921,2016-05-26,Round 3,Flamengo,2,Chapecoense AF,2,,
520922,2016-05-26,Round 3,Palmeiras,2,Fluminense,0,,
520923,2016-05-26,Round 3,Santa Cruz,4,Cruzeiro,1,,
520924,2016-05-26,Round 3,Coritiba,1,Sao Paulo,1,,
520925,2016-05-26,Round 3,Corinthians,3,Ponte Preta,0,,
520926,2016-05-26,Round 3,Internacional,1,Sport,0,,
520927,2016-05-27,Round 3,Atletico MG,0,Gremio,3,,
520928,2016-05-28,Round 4,Cruzeiro,1,America MG,1,,
520929,2016-05-28,Round 4,Atletico PR,2,Figueirense,1,,
520930,2016-05-29,Round 4,Chapecoense AF,1,Santa Cruz,1,,
520931,2016-05-29,Round 4,Ponte Preta,1,Flamengo,2,,
520932,2016-05-29,Round 4,Sport,0,Corinthians,2,,
520933,2016-05-29,Round 4,Vitoria,1,Atletico MG,1,,
520934,2016-05-29,Round 4,Fluminense,1,Botafogo RJ,0,,
520935,2016-05-29,Round 4,Sao Paulo,1,Palmeiras,0,,
520936,2016-05-29,Round 4,Gremio,2,Coritiba,0,,
520937,2016-05-29,Round 4,Santos FC,0,Internacional,1,,
520938,2016-06-01,Round 5,Internacional,1,Atletico PR,0,,
520939,2016-06-02,Round 5,Santa Cruz,0,Sport,1,,
520940,2016-06-02,Round 5,Coritiba,3,Chapecoense AF,4,,
520941,2016-06-02,Round 5,Corinthians,1,Santos FC,0,,
520942,2016-06-02,Round 5,Botafogo RJ,0,Cruzeiro,1,,
520943,2016-06-02,Round 5,Figueirense,1,Sao Paulo,0,,
520944,2016-06-02,Round 5,Atletico MG,1,Fluminense,1,,
520945,2016-06-02,Round 5,America MG,1,Ponte Preta,2,,
520946,2016-06-03,Round 5,Palmeiras,4,Gremio,3,,
520947,2016-06-03,Round 5,Flamengo,1,Vitoria,0,,
520948,2016-06-04,Round 6,Atletico PR,1,Santa Cruz,0,,
520949,2016-06-05,Round 6,Chapecoense AF,0,Fluminense,0,,
520950,2016-06-05,Round 6,Corinthians,2,Coritiba,1,,
520951,2016-06-05,Round 6,America MG,1,Figueirense,0,,
520952,2016-06-05,Round 6,Santos FC,3,Botafogo RJ,0,,
520953,2016-06-05,Round 6,Vitoria,1,Internacional,0,,
520954,2016-06-05,Round 6,Flamengo,1,Palmeiras,2,,
520955,2016-06-05,Round 6,Sport,4,Atletico MG,4,,
520956,2016-06-05,Round 6,Gremio,1,Ponte Preta,0,,
520957,2016-06-05,Round 6,Cruzeiro,0,Sao Paulo,1,,
520958,2016-06-11,Round 7,Ponte Preta,2,Chapecoense AF,1,,
520959,2016-06-11,Round 7,Internacional,3,America MG,1,,
520960,2016-06-11,Round 7,Fluminense,1,Gremio,1,,
520961,2016-06-12,Round 7,Sao Paulo,1,Atletico PR,2,,
520962,2016-06-12,Round 7,Coritiba,3,Sport,2,,
520963,2016-06-12,Round 7,Botafogo RJ,1,Vitoria,1,,
520964,2016-06-12,Round 7,Figueirense,1,Flamengo,0,,
520965,2016-06-12,Round 7,Palmeiras,1,Corinthians,0,,
520966,2016-06-12,Round 7,Atletico MG,2,Cruzeiro,3,,
520967,2016-06-12,Round 7,Santa Cruz,0,Santos FC,2,,
520968,2016-06-15,Round 8,Ponte Preta,3,Atletico PR,2,,
520969,2016-06-15,Round 8,Chapecoense AF,3,Gremio,3,,
520970,2016-06-15,Round 8,Sao Paulo,2,Vitoria,0,,
520971,2016-06-16,Round 8,Botafogo RJ,3,America MG,1,,
520972,2016-06-16,Round 8,Santa Cruz,1,Figueirense,0,,
520973,2016-06-16,Round 8,Santos FC,2,Sport,0,,
520974,2016-06-16,Round 8,Coritiba,2,Palmeiras,2,,
520975,2016-06-16,Round 8,Cruzeiro,0,Flamengo,1,,
520976,2016-06-16,Round 8,Internacional,2,Atletico MG,0,,
520977,2016-06-17,Round 8,Fluminense,1,Corinthians,0,,
520978,2016-06-18,Round 9,Palmeiras,3,Santa Cruz,1,,
520979,2016-06-18,Round 9,Atletico PR,1,Santos FC,0,,
520980,2016-06-19,Round 9,America MG,2,Coritiba,1,,
520981,2016-06-19,Round 9,Atletico MG,3,Ponte Preta,0,,
520982,2016-06-19,Round 9,Vitoria,1,Chapecoense AF,2,,
520983,2016-06-19,Round 9,Corinthians,3,Botafogo RJ,1,,
520984,2016-06-19,Round 9,Figueirense,3,Internacional,2,,
520985,2016-06-19,Round 9,Flamengo,2,Sao Paulo,2,,
520986,2016-06-19,Round 9,Sport,2,Fluminense,1,,
520987,2016-06-19,Round 9,Gremio,2,Cruzeiro,0,,
520988,2016-06-22,Round 10,Palmeiras,2,America MG,0,,
520989,2016-06-22,Round 10,Ponte Preta,0,Cruzeiro,4,,
520990,2016-06-23,Round 10,Santa Cruz,0,Flamengo,1,,
520991,2016-06-23,Round 10,Botafogo RJ,0,Figueirense,0,,
520992,2016-06-23,Round 10,Atletico MG,2,Corinthians,1,,
520993,2016-06-23,Round 10,Fluminense,2,Santos FC,4,,
520994,2016-06-23,Round 10,Chapecoense AF,0,Atletico PR,0,,
520995,2016-06-23,Round 10,Gremio,1,Vitoria,2,,
